Sample	Source
DRR033878	Clinical
DRR033877	Clinical
DRR033876	Clinical
DRR033875	Clinical
DRR033874	Clinical
DRR033873	Clinical
DRR033872	Clinical
DRR033871	Clinical
DRR033870	Clinical
DRR033869	Clinical
SRR13693699	Gut
SRR13693733	Gut
SRR13693732	Gut
SRR13693731	Gut
SRR13693730	Gut
SRR13693729	Gut
SRR13693703	Gut
SRR13693702	Gut
SRR13693701	Gut
SRR13693700	Gut
SRR10131017	Water
SRR10419063	Water
SRR10419114	Water
SRR10419386	Water
SRR10451708	Water
SRR10420100	Water
SRR10451711	Water
SRR10451712	Water
SRR10451718	Water
SRR10451709	Water
